Timestamp,Name,Level,Reason,Snapshot,Action
2026-03-26 17:47:20,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:21,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:21,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:22,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:22,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:23,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:23,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:24,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:24,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:25,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:25,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:26,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:26,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:27,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:27,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:28,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:28,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:29,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:29,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:30,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:30,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:31,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174727_0302CS221132.jpg,Dismissed
2026-03-26 17:47:31,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:31,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:31,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174727_0302CS221132.jpg,Dismissed
2026-03-26 17:47:32,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:32,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:33,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:33,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:34,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:34,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:35,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:35,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:36,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:36,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 20:11:23,0302BA221111,High,Food thief,d:\scis_pyqt6\Debug\alerts\20260326_201117_0302BA221111.jpg,Dismissed
2026-03-26 20:11:34,0302BA221111,High,Food thief,d:\scis_pyqt6\Debug\alerts\20260326_201129_0302BA221111.jpg,Dismissed
2026-03-26 20:11:50,0302BA221111,High,Food thief,d:\scis_pyqt6\Debug\alerts\20260326_201145_0302BA221111.jpg,Dismissed
